1991;# doc = ahscomments.2.txt;;;;;;;;;;;;;;;;
1992;# speaker = Арина;;;;;;;;;;;;;;;;
1993;# sent = 141;;;;;;;;;;;;;;;;
1994;;О;О;INTJ;;;_О_ , бойкоты .;о;;;;;;PR;О;PR;О
1995;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
1996;;бойкоты;БОЙКОТ;S m inan nom pl;;;О , _бойкоты_ .;ы;т;о;к;й;о;S;БОЙКОТ;S m inan gen sg;Т
1997;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
1998;;;;;;;;;;;;;;;;;
1999;# sent = 142;;;;;;;;;;;;;;;;
2000;;Это;ЭТО;SPRO n - nom sg;;;. _Это_ , наверное ,;о;т;э;;;;SPRO;ЭТОТ;A - acc sg plen n -;О
2001;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
2002;;наверное;НАВЕРНОЕ;ADV -;;;Это , _наверное_ , в ту;е;о;н;р;е;в;ADV;НАВЕРНОЕ;ADV -;Е
2003;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
2004;;в;В;PR;;;, наверное , _в_ ту ночь произошло;в;;;;;;PR;В;PR;В
2005;;ту;ТОТ;A - acc sg f -;;;наверное , в _ту_ ночь произошло ,;у;т;;;;;A;ТОТ;A - acc sg plen f -;Т
2006;;ночь;НОЧЬ;S f inan acc sg;;;, в ту _ночь_ произошло , когда;ь;ч;о;н;;;S;НОЧЬ;S f inan acc sg;Ь
2007;;произошло;ПРОИЗОЙТИ;V pf praet sg indic n - intr;;;в ту ночь _произошло_ , когда они;о;л;ш;о;з;и;V;ПРОИЗОЙТИ;V pf praet sg indic n -;И
2008;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
2009;;когда;КОГДА;CONJ;;;ночь произошло , _когда_ они там все;а;д;г;о;к;;CONJ;КОГДА;CONJ;А
2010;;они;ОНИ;SPRO pl 3p nom;;;произошло , когда _они_ там все были;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
2011;;там;ТАМ;ADVPRO;;;, когда они _там_ все были против;м;а;т;;;;ADV;ТАМ;ADV -;М
2012;;все;ВСЕ;APRO - - nom pl;;;когда они там _все_ были против Дональда;е;с;в;;;;S;ВСЕ;S - - nom pl;Е
2013;;были;БЫТЬ;V ipf praet pl indic - -;;;они там все _были_ против Дональда Трампа;и;л;ы;б;;;V;БЫТЬ;V ipf praet pl indic - -;Ь
2014;;против;ПРОТИВ;PR;;;там все были _против_ Дональда Трампа .;в;и;т;о;р;п;PR;ПРОТИВ;PR;В
2015;;Дональда;ДОНАЛЬД;S m anim acc sg;;;все были против _Дональда_ Трампа .;а;д;ь;л;а;н;S;ДОНАЛЬД;S m anim acc sg;Д
2016;;Трампа;ТРАМП;S m anim gen sg famn;;;были против Дональда _Трампа_ .;а;п;м;а;р;т;S;ТРАМП;S f inan acc sg;П
2017;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
2018;;;;;;;;;;;;;;;;;
2019;# sent = 143;;;;;;;;;;;;;;;;
2020;;Фу;ФУ;INTJ;;;. _Фу_ , Обама идёт;у;ф;;;;;INTJ;ФУ;INTJ;У
2021;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
2022;;Обама;ОБАМА;S m anim nom sg famn;;;Фу , _Обама_ идёт , наш;а;м;а;б;о;;S;ОБАМА;S f inan nom sg;А
2023;;идёт;ИДТИ;V ipf praes sg indic act - 3p intr;;;Фу , Обама _идёт_ , наш любимый;т;ё;д;и;;;V;ИДТИ;V ipf praes sg indic - 3p;И
2024;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
2025;;наш;НАШ;APRO - nom sg m -;;;Обама идёт , _наш_ любимый российский друг;ш;а;н;;;;APRO;НАШ;A - nom sg plen m -;Ш
2026;;любимый;ЛЮБИМЫЙ;A - nom sg plen m -;;;идёт , наш _любимый_ российский друг .;й;ы;м;и;б;ю;A;ЛЮБИМЫЙ;A - nom sg plen m -;Й
2027;;российский;РОССИЙСКИЙ;A - nom sg plen m -;;;, наш любимый _российский_ друг .;й;и;к;с;й;и;A;РОССИЙСКИЙ;A - nom sg plen m -;Й
2028;;друг;ДРУГ;S m anim nom sg;;;наш любимый российский _друг_ .;г;у;р;д;;;S;ДРУГ;S m anim nom sg;Г
2029;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
2030;;;;;;;;;;;;;;;;;
2031;# sent = 144;;;;;;;;;;;;;;;;
2032;# speaker = Арина;;;;;;;;;;;;;;;;
2033;# sent = 145;;;;;;;;;;;;;;;;
2034;;Очень;ОЧЕНЬ;ADV -;;;_Очень_ самоуверенно .;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь
2035;;самоуверенно;САМОУВЕРЕННО;ADV -;;;Очень _самоуверенно_ .;о;н;н;е;р;е;ADV;САМОУВЕРЕННО;ADV -;О
2036;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
2037;;;;;;;;;;;;;;;;;
2038;# sent = 146;;;;;;;;;;;;;;;;
2039;# speaker = Арина;;;;;;;;;;;;;;;;
2040;# sent = 147;;;;;;;;;;;;;;;;
2041;;Офигеть;ОФИГЕТЬ;V pf intr inf - -;;;_Офигеть_ .;ь;т;е;г;и;ф;V;ОФИГЕТЬ;V pf - - inf - -;Ь
2042;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
2043;;;;;;;;;;;;;;;;;
2044;# sent = 148;;;;;;;;;;;;;;;;
2045;;Чуть;ЧУТЬ;ADV -;;;. _Чуть_ машина не упала;ь;т;у;ч;;;ADV;ЧУТЬ;ADV -;Ь
